Doc ID,Review,Polarity
45,"Frozen pucks of disgust, with some of the worst people behind the register.",negative
46,The only thing I did like was the prime rib and dessert section.,positive
47,It's too bad the food is so damn generic.,negative
48,"The burger is good beef, cooked just right.",positive
49,If you want a sandwich just go to any Firehouse!!!!!,positive
50,"My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing.",positive
51,We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.,positive
52,He came running after us when he realized my husband had left his sunglasses on the table.,positive
53,Their chow mein is so good!,positive
54,"They have horrible attitudes towards customers, and talk down to each one when customers don't enjoy their food.",negative
55,The portion was huge!,positive
56,"Loved it...friendly servers, great food, wonderful and imaginative menu.",positive
57,The Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.,negative
58,Not much seafood and like 5 strings of pasta at the bottom.,negative
59,"The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked.",positive
60,"The ripped banana was not only ripped, but petrified and tasteless.",negative
61,At least think to refill my water before I struggle to wave you over for 10 minutes.,negative
62,This place receives stars for their APPETIZERS!!!,positive
63,The cocktails are all handmade and delicious.,positive
64,We'd definitely go back here again.,positive
65,We are so glad we found this place.,positive
66,"Great food and service, huge portions and they give a military discount.",positive
67,Always a great time at Dos Gringos!,positive
68,Update.....went back for a second time and it was still just as amazing,positive
69,We got the food and apparently they have never heard of salt and the batter on the fish was chewy.,negative
70,A great way to finish a great.,positive
71,"The deal included 5 tastings and 2 drinks, and Jeff went above and beyond what we expected.",positive
72,awesome food,positive
73,The service was meh.,negative
74,"It took over 30 min to get their milkshake, which was nothing more than chocolate milk.",negative
75,"I guess I should have known that this place would suck, because it is inside of the Excalibur, but I didn't use my common sense.",negative
76,The scallop dish is quite appalling for value as well.,negative
77,2 times - Very Bad Customer Service !,negative
78,The sweet potato fries were very good and seasoned well.,positive
79,Today is the second time I've been to their lunch buffet and it was pretty good.,positive
80,There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company.,negative
81,Coming here is like experiencing an underwhelming relationship where both parties can't wait for the other person to ask to break up.,negative
82,walked in and the place smelled like an old grease trap and only 2 others there eating.,negative
83,The turkey and roast beef were bland.,negative
84,This place has it!,positive
85,The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.,negative
86,I love the Pho and the spring rolls oh so yummy you have to try.,positive
87,The poor batter to meat ratio made the chicken tenders very unsatisfying.,negative
88,All I have to say is the food was amazing!!!,positive
89,Omelets are to die for!,positive
90,Everything was fresh and delicious!,positive
91,"In summary, this was a largely disappointing dining experience.",negative
92,"It's like a really sexy party in your mouth, where you're outrageously flirting with the hottest person at the party.",positive
93,"Never been to Hard Rock Casino before, WILL NEVER EVER STEP FORWARD IN IT AGAIN!",negative
94,Best breakfast buffet!!!,positive
95,say bye bye to your tip lady!,negative
96,We'll never go again.,negative
97,Will be back again!,positive
98,Food arrived quickly!,positive
99,It was not good.,negative
100,"On the up side, their cafe serves really good food.",positive
101,"Our server was fantastic and when he found out the wife loves roasted garlic and bone marrow, he added extra to our meal and another marrow to go!",positive
102,"The only good thing was our waiter, he was very helpful and kept the bloddy mary's coming.",positive
103,"Best Buffet in town, for the price you cannot beat it.",positive
104,"I LOVED their mussels cooked in this wine reduction, the duck was tender, and their potato dishes were delicious.",positive
105,This is one of the better buffets that I have been to.,positive
106,So we went to Tigerlilly and had a fantastic afternoon!,positive
107,"The food was delicious, our bartender was attentive and personable AND we got a great deal!",positive
108,The ambience is wonderful and there is music playing.,positive
109,Will go back next trip out.,positive
110,Sooooo good!!,positive
111,"REAL sushi lovers, let's be honest - Yama is not that good.",negative
112,"At least 40min passed in between us ordering and the food arriving, and it wasn't that busy.",negative
113,This is a really fantastic Thai restaurant which is definitely worth a visit.,positive
114,"Nice, spicy and tender.",positive
115,Good prices.,positive
116,Check it out.,positive
117,It was pretty gross!,negative
118,I've had better atmosphere.,negative
119,Kind of hard to mess up a steak but they did.,negative
120,"Although I very much liked the look and sound of this place, the actual experience was a bit disappointing.",negative
121,I just don't know how this place managed to served the blandest food I have ever eaten when they are preparing Indian cuisine.,negative
122,"Worst service to boot, but that is the least of their worries.",negative
123,Service was fine and the waitress was friendly.,positive
124,"The guys all had steaks, and our steak loving son who has had steak at the best and worst places said it was the best steak he's ever eaten.",positive
125,"We thought you'd have to venture further away to get good sushi, but this place really hit the spot that night.",positive
126,"Host staff were, for lack of a better word, BITCHES!",negative
127,Bland... Not a liking this place for a number of reasons and I don't want to waste time on bad reviewing.. I'll leave it at that...,negative
128,"Phenomenal food, service and ambiance.",positive
129,I wouldn't return.,negative
130,"Definitely worth venturing off the strip for the pork belly, will return next time I'm in Vegas.",positive
131,This place is way too overpriced for mediocre food.,negative
132,Penne vodka excellent!,positive
133,"They have a good selection of food including a massive meatloaf sandwich, a crispy chicken wrap, a delish tuna melt and some tasty burgers.",positive
134,The management is rude.,negative
135,"Delicious NYC bagels, good selections of cream cheese, real Lox with capers even.",positive
136,"Great Subway, in fact it's so good when you come here every other Subway will not meet your expectations.",positive
137,I had a seriously solid breakfast here.,positive
138,This is one of the best bars with food in Vegas.,positive
139,"He was extremely rude and really, there are so many other restaurants I would love to dine at during a weekend in Vegas.",negative
140,My drink was never empty and he made some really great menu suggestions.,positive
141,Don't do it!!!!,negative
142,The waiter wasn't helpful or friendly and rarely checked on us.,negative
143,My husband and I ate lunch here and were very disappointed with the food and service.,negative
144,And the red curry had so much bamboo shoots and wasn't very tasty to me.,negative
145,Nice blanket of moz over top but i feel like this was done to cover up the subpar food.,positive
146,The bathrooms are clean and the place itself is well decorated.,positive
147,"The menu is always changing, food quality is going down & service is extremely slow.",negative
148,"The service was a little slow , considering that were served by 3 people servers so the food was coming in a slow pace.",negative
149,I give it 2 thumbs down,negative
150,We watched our waiter pay a lot more attention to other tables and ignore us.,negative
151,My fiancé and I came in the middle of the day and we were greeted and seated right away.,positive
152,This is a great restaurant at the Mandalay Bay.,positive
153,We waited for forty five minutes in vain.,negative
154,Crostini that came with the salad was stale.,negative
155,Some highlights : Great quality nigiri here!,positive
156,the staff is friendly and the joint is always clean.,positive
157,this was a different cut than the piece the other day but still wonderful and tender s well as well flavored.,positive
158,I ordered the Voodoo pasta and it was the first time I'd had really excellent pasta since going gluten free several years ago.,positive
159,this place is good.,positive
160,"Unfortunately, we must have hit the bakery on leftover day because everything we ordered was STALE.",negative
161,I came back today since they relocated and still not impressed.,negative
162,I was seated immediately.,positive
163,"Their menu is diverse, and reasonably priced.",positive
164,Avoid at all cost!,negative
165,Restaurant is always full but never a wait.,positive
166,DELICIOUS!!,positive
167,This place is hands-down one of the best places to eat in the Phoenix metro area.,positive
168,So don't go there if you are looking for good food...,negative
169,I've never been treated so bad.,negative
170,Bacon is hella salty.,positive
171,We also ordered the spinach and avocado salad; the ingredients were sad and the dressing literally had zero taste.,negative
172,"This really is how Vegas fine dining used to be, right down to the menus handed to the ladies that have no prices listed.",positive
173,The waitresses are very friendly.,positive
174,"Lordy, the Khao Soi is a dish that is not to be missed for curry lovers!",positive
175,Everything on the menu is terrific and we were also thrilled that they made amazing accommodations for our vegetarian daughter.,positive
176,"Perhaps I caught them on an off night judging by the other reviews, but I'm not inspired to go back.",negative
177,The service here leaves a lot to be desired.,negative
178,"The atmosphere is modern and hip, while maintaining a touch of coziness.",positive
179,"Not a weekly haunt, but definitely a place to come back to every once in a while.",positive
180,We literally sat there for 20 minutes with no one asking to take our order.,negative
181,"The burger had absolutely no flavor - the meat itself was totally bland, the burger was overcooked and there was no charcoal flavor.",negative
182,I also decided not to send it back because our waitress looked like she was on the verge of having a heart attack.,negative
183,I dressed up to be treated so rudely!,negative
184,It was probably dirt.,negative
185,"Love this place, hits the spot when I want something healthy but not lacking in quantity or flavor.",positive
186,I ordered the Lemon raspberry ice cocktail which was also incredible.,positive
187,"The food sucked, which we expected but it sucked more than we could have imagined.",negative
188,Interesting decor.,positive
189,What I really like there is the crepe station.,positive
190,"Also were served hot bread and butter, and home made potato chips with bacon bits on top....very original and very good.",positive
191,you can watch them preparing the delicious food!),positive
192,Both of the egg rolls were fantastic.,positive
193,"When my order arrived, one of the gyros was missing.",negative
194,"I had a salad with the wings, and some ice cream for dessert and left feeling quite satisfied.",positive
195,I'm not really sure how Joey's was voted best hot dog in the Valley by readers of Phoenix Magazine.,negative
196,The best place to go for a tasty bowl of Pho!,positive
197,The live music on Fridays totally blows.,negative
198,I've never been more insulted or felt disrespected.,negative
199,Very friendly staff.,positive
200,It is worth the drive.,positive
201,"I had heard good things about this place, but it exceeding every hope I could have dreamed of.",positive
202,Food was great and so was the serivce!,positive
203,The warm beer didn't help.,negative
204,Great brunch spot.,positive
205,Service is friendly and inviting.,positive
206,Very good lunch spot.,positive
207,I've lived here since 1979 and this was the first (and last) time I've stepped foot into this place.,negative
208,The WORST EXPERIENCE EVER.,negative
209,Must have been an off night at this place.,negative
210,"The sides are delish - mixed mushrooms, yukon gold puree, white corn - beateous.",positive
211,"If that bug never showed up I would have given a 4 for sure, but on the other side of the wall where this bug was climbing was the kitchen.",negative
212,"For about 10 minutes, we we're waiting for her salad when we realized that it wasn't coming any time soon.",negative
213,My friend loved the salmon tartar.,positive
214,Won't go back.,negative
215,Extremely Tasty!,positive
216,Waitress was good though!,positive
217,Soggy and not good.,negative
218,The Jamaican mojitos are delicious.,positive
219,Which are small and not worth the price.,negative
220,delicious,positive
221,"The shower area is outside so you can only rinse, not take a full shower, unless you don't mind being nude for everyone to see!",negative
222,The service was a bit lacking.,negative
223,"Lobster Bisque, Bussell Sprouts, Risotto, Filet ALL needed salt and pepper..and of course there is none at the tables.",negative
224,Hopefully this bodes for them going out of business and someone who can cook can come in.,negative
225,"It was either too cold, not enough flavor or just bad.",negative
226,I loved the bacon wrapped dates.,positive
227,This is an unbelievable BARGAIN!,positive
228,The folks at Otto always make us feel so welcome and special.,positive
229,"As for the ""mains,"" also uninspired.",negative
230,This is the place where I first had pho and it was amazing!!,positive
231,This wonderful experience made this place a must-stop whenever we are in town again.,positive
232,"If the food isn't bad enough for you, then enjoy dealing with the world's worst/annoying drunk people.",negative
233,Very very fun chef.,positive
234,"Ordered a double cheeseburger & got a single patty that was falling apart (picture uploaded) Yeah, still sucks.",negative
235,Great place to have a couple drinks and watch any and all sporting events as the walls are covered with TV's.,positive
236,"If it were possible to give them zero stars, they'd have it.",negative
237,"The descriptions said ""yum yum sauce"" and another said ""eel sauce"", yet another said ""spicy mayo""...well NONE of the rolls had sauces on them.",negative
238,"I'd say that would be the hardest decision... Honestly, all of M's dishes taste how they are supposed to taste (amazing).",positive
239,If she had not rolled the eyes we may have stayed... Not sure if we will go back and try it again.,negative
240,"Everyone is very attentive, providing excellent customer service.",positive
241,Horrible - don't waste your time and money.,negative
242,Now this dish was quite flavourful.,positive
243,By this time our side of the restaurant was almost empty so there was no excuse.,negative
244,"(It wasn't busy either) Also, the building was FREEZING cold.",negative
245,"like the other reviewer said ""you couldn't pay me to eat at this place again.""",negative
246,-Drinks took close to 30 minutes to come out at one point.,negative
247,"Seriously flavorful delights, folks.",positive
248,Much better than the other AYCE sushi place I went to in Vegas.,positive
249,The lighting is just dark enough to set the mood.,positive
250,Based on the sub-par service I received and no effort to show their gratitude for my business I won't be going back.,negative
251,Owner's are really great people.!,positive
252,There is nothing privileged about working/eating there.,negative
253,The Greek dressing was very creamy and flavorful.,positive
254,"Overall, I don't think that I would take my parents to this place again because they made most of the similar complaints that I silently felt too.",negative
255,Now the pizza itself was good the peanut sauce was very tasty.,positive
256,We had 7 at our table and the service was pretty fast.,positive
257,Fantastic service here.,positive
258,I as well would've given godfathers zero stars if possible.,negative
259,They know how to make them here.,positive
260,very tough and very short on flavor!,negative
261,I hope this place sticks around.,positive
262,"I have been in more than a few bars in Vegas, and do not ever recall being charged for tap water.",negative
263,The restaurant atmosphere was exquisite.,positive
264,"Good service, very clean, and inexpensive, to boot!",positive
265,The seafood was fresh and generous in portion.,positive
266,"Plus, it's only 8 bucks.",positive
267,"The service was not up to par, either.",negative
268,"Thus far, have only visited twice and the food was absolutely delicious each time.",positive
269,Just as good as when I had it more than a year ago!,positive
270,"For a self proclaimed coffee cafe, I was wildly disappointed.",negative
271,The Veggitarian platter is out of this world!,positive
272,You cant go wrong with any of the food here.,positive
273,You can't beat that.,positive
274,"Stopped by this place while in Madison for the Ironman, very friendly, kind staff.",positive
275,The chefs were friendly and did a good job.,positive
276,"I've had better, not only from dedicated boba tea spots, but even from Jenni Pho.",negative
277,I liked the patio and the service was outstanding.,positive
278,The goat taco didn't skimp on the meat and wow what FLAVOR!,positive
279,I think not again,negative
280,I had the mac salad and it was pretty bland so I will not be getting that again.,negative
281,I went to Bachi Burger on a friend's recommendation and was not disappointed.,positive
282,Service stinks here!,negative
283,I waited and waited.,negative
284,"This place is not quality sushi, it is not a quality restaurant.",negative
285,I would definitely recommend the wings as well as the pizza.,positive
286,Great Pizza and Salads!,positive
287,Things that went wrong: - They burned the saganaki.,negative
288,We waited an hour for what was a breakfast I could have done 100 times better at home.,negative
289,This place is amazing!,positive
290,"I hate to disagree with my fellow Yelpers, but my husband and I were so disappointed with this place.",negative
291,Waited 2 hours & never got either of our pizzas as many other around us who came in later did!,negative
292,Just don't know why they were so slow.,negative
293,"The staff is great, the food is delish, and they have an incredible beer selection.",positive
294,"I live in the neighborhood so I am disappointed I won't be back here, because it is a convenient location.",negative
295,I didn't know pulled pork could be soooo delicious.,positive
296,"You get incredibly fresh fish, prepared with care.",positive
297,Before I go in to why I gave a 1 star rating please know that this was my third time eating at Bachi burger before writing a review.,negative
298,I love the fact that everything on their menu is worth it.,positive
299,Never again will I be dining at this place!,negative
300,The food was excellent and service was very good.,positive
301,Good beer & drink selection and good food selection.,positive
302,Please stay away from the shrimp stir fried noodles.,negative
303,The potato chip order was sad... I could probably count how many chips were in that box and it was probably around 12.,negative
304,Food was really boring.,negative
305,Good Service-check!,positive
306,This greedy corporation will NEVER see another dime from me!,negative
307,"Will never, ever go back.",negative
308,"As much as I'd like to go back, I can't get passed the atrocious service and will never return.",negative
309,"In the summer, you can dine in a charming outdoor patio - so very delightful.",positive
310,I did not expect this to be so good!,positive
311,Fantastic food!,positive
312,She ordered a toasted English muffin that came out untoasted.,negative
313,The food was very good.,positive
314,Never going back.,negative
315,"Great food for the price, which is very high quality and house made.",positive
316,The bus boy on the other hand was so rude.,negative
317,"By this point, my friends and I had basically figured out this place was a joke and didn't mind making it publicly and loudly known.",negative
318,"Back to good BBQ, lighter fare, reasonable pricing and tell the public they are back to the old ways.",positive
319,"And considering the two of us left there very full and happy for about $20, you just can't go wrong.",positive
320,All the bread is made in-house!,positive
321,The only downside is the service.,negative
322,"Also, the fries are without a doubt the worst fries I've ever had.",negative
323,Service was exceptional and food was a good as all the reviews.,positive
324,"A couple of months later, I returned and had an amazing meal.",positive
325,Favorite place in town for shawarrrrrrma!!!!!!,positive
326,The black eyed peas and sweet potatoes... UNREAL!,positive
327,You won't be disappointed.,positive
328,"They could serve it with just the vinaigrette and it may make for a better overall dish, but it was still very good.",positive
329,"I go to far too many places and I've never seen any restaurant that serves a 1 egg breakfast, especially for $4.00.",negative
330,When my mom and I got home she immediately got sick and she only had a few bites of salad.,negative
331,The servers are not pleasant to deal with and they don't always honor Pizza Hut coupons.,negative
332,"Both of them were truly unbelievably good, and I am so glad we went back.",positive
333,"We had fantastic service, and were pleased by the atmosphere.",positive
334,Everything was gross.,negative
335,I love this place.,positive
336,Great service and food.,positive
337,First - the bathrooms at this location were dirty- Seat covers were not replenished & just plain yucky!!!,negative
338,"The burger... I got the ""Gold Standard"" a $17 burger and was kind of disappointed.",negative
339,"OMG, the food was delicioso!",positive
340,There is nothing authentic about this place.,negative
341,the spaghetti is nothing special whatsoever.,negative
342,"Of all the dishes, the salmon was the best, but all were great.",positive
343,The vegetables are so fresh and the sauce feels like authentic Thai.,positive
344,It's worth driving up from Tucson!,positive
345,The selection was probably the worst I've seen in Vegas.....there was none.,negative
346,Pretty good beer selection too.,positive
347,"This place is like Chipotle, but BETTER.",positive
348,"Classy/warm atmosphere, fun and fresh appetizers, succulent steaks (Baseball steak!!!!!",positive
349,5 stars for the brick oven bread app!,positive
350,"I have eaten here multiple times, and each time the food was delicious.",positive
351,We sat another ten minutes and finally gave up and left.,negative
352,He was terrible!,negative
353,Everyone is treated equally special.,positive
354,It shouldn't take 30 min for pancakes and eggs.,negative
355,It was delicious!!!,positive
356,"On the good side, the staff was genuinely pleasant and enthusiastic - a real treat.",positive
357,"Sadly, Gordon Ramsey's Steak is a place we shall sharply avoid during our next trip to Vegas.",negative
358,As always the evening was wonderful and the food delicious!,positive
359,Best fish I've ever had in my life!,positive
360,(The bathroom is just next door and very nice.),positive
361,The buffet is small and all the food they offered was BLAND.,negative
362,This is an Outstanding little restaurant with some of the Best Food I have ever tasted.,positive
363,Pretty cool I would say.,positive
364,Definitely a turn off for me & i doubt I'll be back unless someone else is buying.,negative
365,Server did a great job handling our large rowdy table.,positive
366,"I find wasting food to be despicable, but this just wasn't food.",negative
367,My wife had the Lobster Bisque soup which was lukewarm.,negative
368,Would come back again if I had a sushi craving while in Vegas.,positive
369,"The staff are great, the ambiance is great.",positive
370,He deserves 5 stars.,positive
371,I left with a stomach ache and felt sick the rest of the day.,negative
372,They dropped more than the ball.,negative
373,"The dining space is tiny, but elegantly decorated and comfortable.",positive
374,"They will customize your order any way you'd like, my usual is Eggplant with Green Bean stir fry, love it!",positive
375,And the beans and rice were mediocre at best.,negative
376,Best tacos in town by far!!,positive
377,I took back my money and got outta there.,negative
378,"In an interesting part of town, this place is amazing.",positive
379,RUDE & INCONSIDERATE MANAGEMENT.,negative
380,"The staff are now not as friendly, the wait times for being served are horrible, no one even says hi for the first 10 minutes.",negative
381,I won't be back.,negative
382,They have great dinners.,positive
383,The service was outshining & I definitely recommend the Halibut.,positive
384,The food was terrible.,negative
385,WILL NEVER EVER GO BACK AND HAVE TOLD MANY PEOPLE WHAT HAD HAPPENED.,negative
386,I don't recommend unless your car breaks down in front of it and you are starving.,negative
387,I will come back here every time I'm in Vegas.,positive
388,This place deserves one star and 90% has to do with the food.,negative
389,This is a disgrace.,negative
390,Def coming back to bowl next time,positive
391,"If you want healthy authentic or ethic food, try this place.",positive
392,I will continue to come here on ladies night andddd date night ... highly recommend this place to anyone who is in the area (;,positive
393,"I have been here several times in the past, and the experience has always been great.",positive
394,We walked away stuffed and happy about our first Vegas buffet experience.,positive
395,Service was excellent and prices are pretty reasonable considering this is Vegas and located inside the Crystals shopping mall by Aria.,positive
396,"To summarize... the food was incredible, nay, transcendant... but nothing brings me joy quite like the memory of the pneumatic condiment dispenser.",positive
397,I'm probably one of the few people to ever go to Ians and not like it.,negative
398,Kids pizza is always a hit too with lots of great side dish options for the kiddos!,positive
399,Service is perfect and the family atmosphere is nice to see.,positive
400,Cooked to perfection and the service was impeccable.,positive
401,This one is simply a disappointment.,negative
402,"Overall, I was very disappointed with the quality of food at Bouchon.",negative
403,I don't have to be an accountant to know I'm getting screwed!,negative
404,"Great place to eat, reminds me of the little mom and pop shops in the San Francisco Bay Area.",positive
405,Today was my first taste of a Buldogis Gourmet Hot Dog and I have to tell you it was more than I ever thought possible.,positive
406,Left very frustrated.,negative
407,I'll definitely be in soon again.,positive
408,Food was really good and I got full petty fast.,positive
409,Service was fantastic.,positive
410,TOTAL WASTE OF TIME.,negative
411,I don't know what kind it is but they have the best iced tea.,positive
412,"Come hungry, leave happy and stuffed!",positive
413,"For service, I give them no stars.",negative
414,I can assure you that you won't be disappointed.,positive
415,I can take a little bad service but the food sucks.,negative
416,Gave up trying to eat any of the crust (teeth still sore).,negative
417,But now I was completely grossed out.,negative
418,I really enjoyed eating here.,positive
419,First time going but I think I will quickly become a regular.,positive
420,"Our server was very nice, and even though he looked a little overwhelmed with all of our needs, he stayed professional and friendly until the end.",positive
421,From what my dinner companions told me...everything was very fresh with nice texture and taste.,positive
422,"On the ground, right next to our table was a large, smeared, been-stepped-in-and-tracked-everywhere pile of green bird poop.",negative
423,"Furthermore, you can't even find hours of operation on the website!",negative
424,We've tried to like this place but after 10+ times I think we're done with them.,negative
425,What a mistake that was!,negative
426,No complaints!,positive
427,This is some seriously good pizza and I'm an expert/connisseur on the topic.,positive
428,Waiter was a jerk.,negative
429,"Strike 2, who wants to be rushed.",negative
430,These are the nicest restaurant owners I've ever come across.,positive
431,I never come again.,negative
432,We loved the biscuits!!!,positive
433,Service is quick and friendly.,positive
434,Ordered an appetizer and took 40 minutes and then the pizza another 10 minutes.,negative
435,So absolutley fantastic.,positive
436,It was a huge awkward 1.5lb piece of cow that was 3/4ths gristle and fat.,negative
437,definitely will come back here again.,positive
438,I like Steiners because it's dark and it feels like a bar.,positive
439,Wow very spicy but delicious.,positive
440,"If you're not familiar, check it out.",positive
441,I'll take my business dinner dollars elsewhere.,negative
442,I'd love to go back.,positive
443,"Anyway, this FS restaurant has a wonderful breakfast/lunch.",positive
444,Nothing special.,negative
445,Each day of the week they have a different deal and it's all so delicious!,positive
446,"Not to mention the combination of pears, almonds and bacon is a big winner!",positive
447,Will not be back.,negative
448,Sauce was tasteless.,negative
449,"The food is delicious and just spicy enough, so be sure to ask for spicier if you prefer it that way.",positive
450,My ribeye steak was cooked perfectly and had great mesquite flavor.,positive
451,I don't think we'll be going back anytime soon.,negative
452,Food was so gooodd.,positive
453,I am far from a sushi connoisseur but I can definitely tell the difference between good food and bad food and this was certainly bad food.,negative
454,I was so insulted.,negative
455,The last 3 times I had lunch here has been bad.,negative
456,The chicken wings contained the driest chicken meat I have ever eaten.,negative
457,"The food was very good and I enjoyed every mouthful, an enjoyable relaxed venue for couples small family groups etc.",positive
458,Nargile - I think you are great.,positive
459,Best tater tots in the southwest.,positive
460,We loved the place.,positive
461,Definitely not worth the $3 I paid.,negative
462,The vanilla ice cream was creamy and smooth while the profiterole (choux) pastry was fresh enough.,positive
463,Im in AZ all the time and now have my new spot.,positive
464,The manager was the worst.,negative
465,The inside is really quite nice and very clean.,positive
466,The food was outstanding and the prices were very reasonable.,positive
467,I don't think I'll be running back to Carly's anytime soon for food.,negative
468,"This is was due to the fact that it took 20 minutes to be acknowledged, then another 35 minutes to get our food...and they kept forgetting things.",negative
469,"Love the margaritas, too!",positive
470,This was my first and only Vegas buffet and it did not disappoint.,positive
471,"Very good, though!",positive
472,The one down note is the ventilation could use some upgrading.,negative
473,Great pork sandwich.,positive
474,Don't waste your time here.,negative
475,"Total letdown, I would much rather just go to the Camelback Flower Shop and Cartel Coffee.",negative
476,"Third, the cheese on my friend's burger was cold.",negative
477,We enjoy their pizza and brunch.,positive
478,The steaks are all well trimmed and also perfectly cooked.,positive
479,We had a group of 70+ when we claimed we would only have 40 and they handled us beautifully.,positive
480,I LOVED it!,positive
481,We asked for the bill to leave without eating and they didn't bring that either.,negative
482,"This place is a jewel in Las Vegas, and exactly what I've been hoping to find in nearly ten years living here.",positive
483,Seafood was limited to boiled shrimp and crab legs but the crab legs definitely did not taste fresh.,negative
484,The selection of food was not the best.,negative
485,Delicious and I will absolutely be back!,positive
486,"This isn't a small family restaurant, this is a fine dining establishment.",positive
487,They had a toro tartare with a cavier that was extraordinary and I liked the thinly sliced wagyu with white truffle.,positive
488,I dont think I will be back for a very long time.,negative
489,"It was attached to a gas station, and that is rarely a good sign.",negative
490,How awesome is that.,positive
491,I will be back many times soon.,positive
492,The menu had so much good stuff on it i could not decide!,positive
493,"Worse of all, he humiliated his worker right in front of me..Bunch of horrible name callings.",negative
494,CONCLUSION: Very filling meals.,positive
495,Their daily specials are always a hit with my group.,positive
496,And then tragedy struck.,negative
497,The pancake was also really good and pretty large at that.,positive
498,"This was my first crawfish experience, and it was delicious!",positive
499,Their monster chicken fried steak and eggs is my all time favorite.,positive
500,Waitress was sweet and funny.,positive
501,"I also had to taste my Mom's multi-grain pumpkin pancakes with pecan butter and they were amazing, fluffy, and delicious!",positive
502,"I'd rather eat airline food, seriously.",negative
503,Cant say enough good things about this place.,positive
504,The ambiance was incredible.,positive
505,The waitress and manager are so friendly.,positive
506,I would not recommend this place.,negative
507,Overall I wasn't very impressed with Noca.,negative
508,My gyro was basically lettuce only.,negative
509,Terrible service!,negative
510,Thoroughly disappointed!,negative
511,"I don't each much pasta, but I love the homemade /hand made pastas and thin pizzas here.",positive
512,"Give it a try, you will be happy you did.",positive
513,By far the BEST cheesecurds we have ever had!,positive
514,Reasonably priced also!,positive
515,Everything was perfect the night we were in.,positive
516,The food is very good for your typical bar food.,positive
517,it was a drive to get there.,negative
518,"At first glance it is a lovely bakery cafe - nice ambiance, clean, friendly staff.",positive
519,"Anyway, I do not think i will go back there.",negative
520,"Point your finger at any item on the menu, order it and you won't be disappointed.",positive
521,"Oh this is such a thing of beauty, this restaurant.",positive
522,If you haven't gone here GO NOW!,positive
523,"A greasy, unhealthy meal.",negative
524,first time there and might just be the last.,negative
525,Those burgers were amazing.,positive
526,"Similarly, the delivery man did not say a word of apology when our food was 45 minutes late.",negative
527,And it was way to expensive.,negative
528,"Be sure to order dessert, even if you need to pack it to-go - the tiramisu and cannoli are both to die for.",positive
529,This was my first time and I can't wait until the next.,positive
530,The bartender was also nice.,positive
531,Everything was good and tasty!,positive
532,This place is two thumbs up....way up.,positive
533,"The best place in Vegas for breakfast (just check out a Sat, or Sun.",positive
534,"If you love authentic Mexican food and want a whole bunch of interesting, yet delicious meats to choose from, you need to try this place.",positive
535,Terrible management.,negative
536,An excellent new restaurant by an experienced Frenchman.,positive
537,If there were zero stars I would give it zero stars.,negative
538,"Great steak, great sides, great wine, amazing desserts.",positive
539,Worst martini ever!,negative
